goods_no,rank,title,subtitle,author,publisher,publish_date,discount_rate,sale_price,original_price,point,sale_index,review_count,rating
192277218,44,이게 되네? AI 실무 올인원 미친 활용법 71제,"챗GPT, 제미나이, 클로드, 퍼플렉시티, 노트북LM, 노션 AI, 나노바나나 2, 그록과 MCP, 스킬까지 업무·투자·일상을 바꾸는 인공지능 종합 필살기",이석현,골든래빗,2026년 07월,10%,23400,26000,"1,300원",2235,14,10.0
192695313,45,"돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]","온라인 쇼핑몰 창업, 상품 소싱, 마진 계산, 상세페이지, 상위 노출, 리뷰 관리, 광고 전략, AI 마케팅 자동화까지 이커머스 고수가 알려주는 현장 밀착형 실전 수익화 비법",김경은(단아쌤),골든래빗,2026년 07월,10%,23220,25800,"1,290원",1416,0,0.0
191698395,46,검색은 끝났다 AEO·GEO 마케팅,광고비 0원으로 AI를 당신의 24시간 영업사원으로 부리는 법,"주민건, 한용희, 김진용",골든래빗,2026년 06월,10%,21600,24000,"1,200원",3582,11,9.8
191481932,47,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오","수업준비, 행정업무, 학급경영 내일 당장 쓸 수 있는 42가지 활용법","송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,10%,15930,17700,880원,5268,15,10.0
175110068,48,요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,2026년 02월,10%,25200,28000,"1,400원",6429,36,9.8
146955725,49,된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,10%,18000,20000,"1,000원",32475,99,9.5
192876161,50,교사와 학부모를 위한 바이브 코딩,아이디어를 도구로 바꾸는 바이브 코딩 입문,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,10%,24300,27000,"1,350원",1446,0,0.0
125830483,51,혼자 공부하는 네트워크,,강민철,한빛미디어,2024년 04월,10%,25200,28000,"1,400원",8976,48,9.8
174018513,52,AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다/강민혁 역,한빛미디어,2026년 01월,10%,28800,32000,"1,600원",12411,17,9.5
152644865,53,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐), 신수진",시프트,2025년 09월,10%,18000,20000,"1,000원",20496,29,9.7
190419762,54,생존을 위한 최소한의 AI 교양,"챗GPT의 원리부터 AI 혼자 일하는 미래까지, 기본을 모른 채 남들만 따라했던 당신이 가장 먼저 읽어야 할 책",조남호,골든래빗,2026년 06월,10%,22500,25000,"1,250원",4548,23,9.9
187491806,55,이게 되네? 캔바 AI 미친 활용법 47제,"프레젠테이션, SNS, 인쇄물, 동영상, 광고, 카드 뉴스, 홈페이지, 메일, 템플릿 활용까지 뭐든지 만드는 캔바 디자인 완벽 마스터",이지쌤(이지훈),골든래빗,2026년 05월,10%,21600,24000,"1,200원",4923,15,10.0
143912145,56,혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,2025년 04월,10%,28800,32000,"1,600원",19146,148,9.7
191507359,57,AI 에이전트 실행 세계 2 : 설계편,엔터프라이즈 월드 모델 구축과 운영,조쉬,로드북,2026년 06월,10%,31500,35000,"1,750원",2334,0,0.0
191506324,58,AI 에이전트 실행 세계 1 : 원리편,뉴로심볼릭 월드 모델의 이론과 적용,조쉬,로드북,2026년 06월,10%,27000,30000,"1,500원",2586,0,0.0
154925812,59,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌/변성윤 역,한빛미디어,2025년 09월,10%,36000,40000,"2,000원",14793,17,9.9
192533233,60,그림으로 이해하는 IT 인프라 구조와 기술,"네트워크, 서버, 클라우드, 웹 시스템, 운영, 장애 대응까지 IT 인프라의 전체 지형도를 한 권으로!","츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카/김성훈 역",길벗,2026년 06월,10%,19800,22000,"1,100원",1464,1,10.0
192564690,61,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트","데이터 분석부터 슬라이드 자동 생성, 반복 업무 자동화까지 ? 직장인의 AI 업무력을 키우는 실전 가이드",LearnAI Team,위키북스,2026년 07월,10%,23400,26000,"1,300원",1386,0,0.0
192047818,62,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,"바이브 코딩 입문자부터 풀스택 개발자까지, 모두를 위한 클로드 코드 완전 활용법",엄태효,위키북스,2026년 06월,10%,25200,28000,"1,400원",2793,2,10.0
191173742,63,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의 [포토샵 + 애프터 이펙트 연동 부록 PDF 제공],조블리,제이펍,2026년 06월,10%,23400,26000,"1,300원",2526,18,10.0
189128697,64,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,"수업 설계, 학급 운영, 행사 자료 제작부터 캔바 AI, 구글 클래스룸, 패들렛, 북 크리에이터 확장 기능까지 캔바로 완성하는 슬기로운 학교생활",황은지,제이펍,2026년 05월,10%,19800,22000,"1,100원",5994,34,9.9
188188392,65,기계가 언어를 사용한다는 것에 대한 인문학적 사유,LLM 인공지능이 생성하는 글과 말을 어떻게 바라볼 것인가,"마크 코켈버그, 데이비드 J.건컬/신동숙 역/손화철 감수",생각이음,2026년 04월,10%,17100,19000,950원,3255,2,10.0
186833195,66,자연은 왜 이토록 단순하면서도 아름다운가,현대 물리학이 밝혀낸 세계의 질서,"로버트 칸, 크리스 퀴그/박병철 역",알에이치코리아(RHK),2026년 04월,10%,31500,35000,"1,750원",5652,13,9.7
118982111,67,혼자 공부하는 C 언어,1:1 과외하듯 배우는 프로그래밍 자습서,서현우,한빛미디어,2023년 05월,10%,23400,26000,"1,300원",10776,54,9.6
112941801,68,회사는 엑셀을 가르쳐주지 않아요,,쏘피(박성희),메가스터디북스,2022년 09월,10%,16200,18000,900원,15042,79,9.7
191485571,69,AI 냄새 지우기,AI를 쓸수록 내 사유가 더 강해지는 법,벤진 리드,자이언톡,2026년 06월,10%,17820,19800,990원,1911,11,10.0
